,ticker,open,high,low,close,volume,value
2022-04-13 09:00:00,KRW-BTC,50577000.0,51947000.0,49936000.0,51700000.0,3335.41327752,169540794582.5969
2022-04-14 09:00:00,KRW-BTC,51645000.0,51942000.0,50000000.0,50245000.0,3240.36835635,165648379824.71838
2022-04-15 09:00:00,KRW-BTC,50275000.0,51286000.0,50079000.0,50850000.0,2259.85843932,113924498278.0374
2022-04-16 09:00:00,KRW-BTC,50807000.0,51100000.0,50251000.0,50567000.0,1285.87810755,65131786307.86627
2022-04-17 09:00:00,KRW-BTC,50567000.0,50698000.0,49851000.0,49962000.0,1643.27108853,82769167197.80688
2022-04-18 09:00:00,KRW-BTC,49962000.0,51290000.0,48626000.0,50839000.0,3977.64433157,197866042963.1782
2022-04-19 09:00:00,KRW-BTC,50768000.0,51904000.0,50550000.0,51458000.0,2813.97753901,144033858428.94022
2022-04-20 09:00:00,KRW-BTC,51459000.0,52326000.0,51015000.0,51388000.0,2789.56353665,144036924649.38208
2022-04-21 09:00:00,KRW-BTC,51436000.0,53075000.0,50250000.0,50805000.0,4540.57112095,235868137067.6446
2022-04-22 09:00:00,KRW-BTC,50805000.0,51000000.0,49526000.0,49937000.0,3309.37626968,166518417330.12607
2022-04-23 09:00:00,KRW-BTC,49937000.0,50290000.0,49466000.0,49742000.0,1905.14689765,94878858638.68283
2022-04-24 09:00:00,KRW-BTC,49723000.0,50211000.0,49300000.0,49620000.0,1658.61740843,82647094726.2008
2022-04-25 09:00:00,KRW-BTC,49620000.0,50993000.0,48600000.0,50614000.0,4209.03760158,208005727805.6377
2022-04-26 09:00:00,KRW-BTC,50614000.0,51193000.0,48300000.0,48777000.0,4171.12409784,207571264467.196
2022-04-27 09:00:00,KRW-BTC,48718000.0,50100000.0,48568000.0,49954000.0,2774.3964679,136961777571.22733
2022-04-28 09:00:00,KRW-BTC,49954000.0,51299000.0,49666000.0,50580000.0,3157.48982507,159373732264.9677
2022-04-29 09:00:00,KRW-BTC,50580000.0,50829000.0,49412000.0,49731000.0,2848.95745884,142344434036.42245
2022-04-30 09:00:00,KRW-BTC,49731000.0,49953000.0,49243000.0,49283000.0,2078.6985343,103247900534.68933
2022-05-01 09:00:00,KRW-BTC,49283000.0,49620000.0,48500000.0,49383000.0,2882.99454014,141630925351.43323
2022-05-02 09:00:00,KRW-BTC,49383000.0,50210000.0,49110000.0,49520000.0,2614.56355974,129931613441.11748
2022-05-03 09:00:00,KRW-BTC,49501000.0,49678000.0,48638000.0,48777000.0,2755.30931499,135666989657.8908
2022-05-04 09:00:00,KRW-BTC,48772000.0,50999000.0,48722000.0,50616000.0,3904.11622031,194729783161.73004
2022-05-05 09:00:00,KRW-BTC,50631000.0,50832000.0,47048000.0,47647000.0,6259.76119967,304844986974.6226
2022-05-06 09:00:00,KRW-BTC,47650000.0,47800000.0,46210000.0,47031000.0,4073.14582751,191194804926.25415
2022-05-07 09:00:00,KRW-BTC,47030000.0,47130000.0,46054000.0,46507000.0,1727.39505839,80649441505.52292
2022-05-08 09:00:00,KRW-BTC,46507000.0,46515000.0,45030000.0,45280000.0,2924.94181125,133315227986.51201
2022-01-29 09:00:00,KRW-ETH,3139000.0,3249000.0,3121000.0,3217000.0,68155.74949735,215973892287.4941
2022-01-30 09:00:00,KRW-ETH,3218000.0,3278000.0,3165000.0,3243000.0,42594.33578366,137306271507.63676
2022-01-31 09:00:00,KRW-ETH,3241000.0,3330000.0,3080000.0,3301000.0,56375.81855823,180499880511.92792
2022-02-01 09:00:00,KRW-ETH,3301000.0,3457000.0,3290000.0,3440000.0,51964.70016778,176423501970.77878
2022-02-02 09:00:00,KRW-ETH,3440000.0,3459000.0,3255000.0,3303000.0,63925.04833746,215041812476.35135
2022-02-03 09:00:00,KRW-ETH,3300000.0,3368000.0,3184000.0,3308000.0,54440.06189202,177574843051.52408
2022-02-04 09:00:00,KRW-ETH,3307000.0,3654000.0,3280000.0,3650000.0,93357.01729261,324433068312.7668
2022-02-05 09:00:00,KRW-ETH,3651000.0,3759000.0,3613000.0,3695000.0,63702.12950414,234372047716.52576
2022-02-06 09:00:00,KRW-ETH,3697000.0,3753000.0,3610000.0,3733000.0,46035.86645817,169875741804.7713
2022-02-07 09:00:00,KRW-ETH,3733000.0,3880000.0,3670000.0,3830000.0,63054.5463089,237992122737.6449
2022-02-08 09:00:00,KRW-ETH,3828000.0,3934000.0,3693000.0,3801000.0,76304.13924537,290004025020.64594
2022-02-09 09:00:00,KRW-ETH,3801000.0,3944000.0,3722000.0,3916000.0,40165.23919525,153630183448.02805
2022-02-10 09:00:00,KRW-ETH,3917000.0,3956000.0,3741000.0,3754000.0,77904.66846625,300580661371.73676
2022-02-11 09:00:00,KRW-ETH,3752000.0,3804000.0,3510000.0,3578000.0,63212.77979229,233143894230.696
2022-02-12 09:00:00,KRW-ETH,3582000.0,3630000.0,3490000.0,3565000.0,47259.82847851,168526786647.80826
2022-02-13 09:00:00,KRW-ETH,3567000.0,3609000.0,3503000.0,3519000.0,25522.19160474,90949768410.69162
2022-02-14 09:00:00,KRW-ETH,3519000.0,3605000.0,3458000.0,3553000.0,42478.6819087,149616288812.71115
2022-02-15 09:00:00,KRW-ETH,3553000.0,3859000.0,3536000.0,3847000.0,52135.85630429,193771414573.97656
2022-02-16 09:00:00,KRW-ETH,3847000.0,3858000.0,3710000.0,3793000.0,46109.7965995,174922696286.3192
2022-02-17 09:00:00,KRW-ETH,3791000.0,3828000.0,3496000.0,3527000.0,71881.41186376,263165144193.0863
2022-02-18 09:00:00,KRW-ETH,3527000.0,3580000.0,3372000.0,3410000.0,66458.08128818,231974618110.2473
2022-02-19 09:00:00,KRW-ETH,3410000.0,3461000.0,3291000.0,3383000.0,41697.56482326,140513230736.3024
2022-02-20 09:00:00,KRW-ETH,3383000.0,3383000.0,3166000.0,3218000.0,56692.22005006,184000675861.44193
2022-02-21 09:00:00,KRW-ETH,3219000.0,3357000.0,3128000.0,3149000.0,88888.68086172,289538928195.02234
2022-02-22 09:00:00,KRW-ETH,3149000.0,3246000.0,3066000.0,3209000.0,74273.55852501,234050844724.40714
2022-02-23 09:00:00,KRW-ETH,3209000.0,3352000.0,3150000.0,3154000.0,62008.14153107,201245256452.72794
2022-02-24 09:00:00,KRW-ETH,3155000.0,3318000.0,2860000.0,3184000.0,165160.64730522,498896271013.6363
2022-02-25 09:00:00,KRW-ETH,3185000.0,3452000.0,3151000.0,3376000.0,82006.48009629,267610331354.92822
2022-02-26 09:00:00,KRW-ETH,3373000.0,3499000.0,3340000.0,3402000.0,54513.02520941,185628570667.23386
2022-02-27 09:00:00,KRW-ETH,3403000.0,3454000.0,3158000.0,3217000.0,88005.61635412,292365546391.07306
2022-02-28 09:00:00,KRW-ETH,3217000.0,3548000.0,3163000.0,3534000.0,110013.72098857,366129838738.6108
2022-03-01 09:00:00,KRW-ETH,3534000.0,3678000.0,3473000.0,3605000.0,99849.56779748,356786387690.92175
2022-03-02 09:00:00,KRW-ETH,3605000.0,3673000.0,3541000.0,3587000.0,71023.67883474,256465656765.47073
2022-03-03 09:00:00,KRW-ETH,3587000.0,3612000.0,3415000.0,3460000.0,60602.47499213,212926176063.0734
2022-03-04 09:00:00,KRW-ETH,3460000.0,3465000.0,3204000.0,3247000.0,69744.31428106,231612320898.92032
2022-03-05 09:00:00,KRW-ETH,3247000.0,3310000.0,3210000.0,3290000.0,34010.56847448,110955465853.63278
2022-03-06 09:00:00,KRW-ETH,3290000.0,3307000.0,3163000.0,3177000.0,32930.15642305,106890771172.42073
2022-03-07 09:00:00,KRW-ETH,3177000.0,3278000.0,3063000.0,3105000.0,66629.01255852,210835931961.5965
2022-03-08 09:00:00,KRW-ETH,3108000.0,3260000.0,3099000.0,3203000.0,47433.94052758,151175788094.8742
2022-03-09 09:00:00,KRW-ETH,3207000.0,3417000.0,3200000.0,3355000.0,72614.18726011,243172845750.28616
2022-03-10 09:00:00,KRW-ETH,3355000.0,3367000.0,3186000.0,3233000.0,56239.67319363,182747914965.30084
