,open,high,low,close,volume,value
2022-06-06 17:46:00+00:00,39484000.0,39499000.0,39466000.0,39466000.0,2.94919689,116439751.40372
2022-06-06 17:47:00+00:00,39466000.0,39468000.0,39458000.0,39458000.0,1.16503595,45975341.98825
2022-06-06 17:48:00+00:00,39458000.0,39460000.0,39433000.0,39457000.0,3.64850746,143916140.87079
2022-06-06 17:49:00+00:00,39457000.0,39478000.0,39438000.0,39469000.0,1.50682051,59457271.62467
2022-06-06 17:50:00+00:00,39466000.0,39489000.0,39462000.0,39479000.0,1.6684867,65858812.87866
2022-06-06 17:51:00+00:00,39466000.0,39515000.0,39466000.0,39480000.0,3.46986575,137042623.83572
2022-06-06 17:52:00+00:00,39480000.0,39531000.0,39480000.0,39531000.0,7.11287981,280996596.64369
2022-06-06 17:53:00+00:00,39520000.0,39540000.0,39488000.0,39532000.0,1.34302745,53086403.93555
2022-06-06 17:54:00+00:00,39539000.0,39542000.0,39533000.0,39533000.0,0.80936768,31999035.79197
2022-06-06 17:55:00+00:00,39533000.0,39535000.0,39493000.0,39502000.0,6.63386229,262096258.40228
2022-06-06 17:56:00+00:00,39502000.0,39532000.0,39493000.0,39495000.0,7.22857543,285542605.97678
2022-06-06 17:57:00+00:00,39530000.0,39536000.0,39495000.0,39536000.0,3.61024205,142722008.19165
2022-06-06 17:58:00+00:00,39536000.0,39555000.0,39510000.0,39551000.0,22.44455651,887407647.55903
2022-06-06 17:59:00+00:00,39555000.0,39567000.0,39525000.0,39534000.0,5.93476746,234788306.74562
2022-06-06 18:00:00+00:00,39566000.0,39657000.0,39534000.0,39567000.0,16.77400218,664572042.77118
2022-06-06 18:01:00+00:00,39567000.0,39569000.0,39537000.0,39568000.0,1.76880932,69965187.85573
2022-06-06 18:02:00+00:00,39540000.0,39576000.0,39538000.0,39568000.0,1.34521614,53210270.33697
2022-06-06 18:03:00+00:00,39546000.0,39573000.0,39546000.0,39568000.0,0.99471956,39348631.68875
2022-06-06 18:04:00+00:00,39546000.0,39568000.0,39538000.0,39564000.0,1.56496322,61901718.50034
2022-06-06 18:05:00+00:00,39564000.0,39566000.0,39539000.0,39562000.0,1.81850474,71942953.66019
2022-06-06 18:06:00+00:00,39560000.0,39562000.0,39538000.0,39539000.0,1.46239073,57842038.76032
2022-06-06 18:07:00+00:00,39540000.0,39560000.0,39539000.0,39560000.0,3.17203618,125469999.13271
2022-06-06 18:08:00+00:00,39542000.0,39563000.0,39540000.0,39550000.0,1.8674699,73871790.09614
2022-06-06 18:09:00+00:00,39550000.0,39560000.0,39542000.0,39549000.0,0.34114176,13492325.98725
2022-06-06 18:10:00+00:00,39542000.0,39549000.0,39539000.0,39540000.0,1.61688174,63939425.14601
2022-06-06 18:11:00+00:00,39540000.0,39540000.0,39500000.0,39500000.0,1.27687489,50466599.03755
2022-06-06 18:12:00+00:00,39533000.0,39533000.0,39491000.0,39533000.0,2.04239618,80688268.41075
2022-06-06 18:13:00+00:00,39507000.0,39539000.0,39507000.0,39511000.0,1.25322881,49541879.84285
2022-06-06 18:14:00+00:00,39539000.0,39539000.0,39510000.0,39510000.0,1.12317397,44396620.07741
2022-06-06 18:15:00+00:00,39532000.0,39549000.0,39510000.0,39522000.0,1.11260899,43992390.56971
2022-06-06 18:16:00+00:00,39523000.0,39549000.0,39522000.0,39548000.0,0.6606673,26125976.21145
